agent_type,cat_attack,temp,round,score
single,False,0.75,0,0.433
single,False,0.75,1,0.567
single,False,0.75,2,0.333
single,False,0.75,0,0.467
single,False,0.75,1,0.533
single,False,0.75,2,0.5
single,False,0.75,0,0.5
single,False,0.75,1,0.5
single,False,0.75,2,0.533
single,False,0.75,0,0.467
single,False,0.75,1,0.6
single,False,0.75,2,0.433
single,True,1.0,0,0.433
single,True,1.0,1,0.767
single,True,1.0,2,0.533
single,True,1.0,0,0.5
single,True,1.0,1,0.7
single,True,1.0,2,0.8
single,True,1.0,0,0.467
single,True,1.0,1,0.7
single,True,1.0,2,0.633
single,True,1.0,0,0.367
single,True,1.0,1,0.633
single,True,1.0,2,0.467
single,True,1.0,0,0.433
single,True,1.0,1,0.6
single,True,1.0,2,0.733
single,False,1.0,0,0.5
single,False,1.0,1,0.6
single,False,1.0,2,0.633
single,False,1.0,0,0.467
single,False,1.0,1,0.567
single,False,1.0,2,0.467
single,False,1.0,0,0.433
single,False,1.0,1,0.7
single,False,1.0,2,0.7
single,False,1.0,0,0.367
single,False,1.0,1,0.5
single,False,1.0,2,0.567
single,False,1.0,0,0.433
single,False,1.0,1,0.5
single,False,1.0,2,0.567
